Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior year,Percentage,change from prior month,Percentage,N,-2.485368885418627
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,calendar year to date,Actual,change from prior month,Percentage,N,-9.970303376719326e-06
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,-9.9703033765213e-06
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,financial year to date,Actual,change from prior month,Percentage,N,8.925137557915036
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,financial year to date,Percentage,change from prior month,Percentage,N,8.925137557915026
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,12 month rolling average,,Actual,change from prior year,Actual,N,0.03336147490266783
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,12 month rolling average,Actual,change from prior year,Actual,N,0.002297475291836104
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,0.12392509107747152
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior month,Actual,change from prior year,Actual,N,-0.000880173972811038
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior month,Percentage,change from prior year,Actual,N,-0.05272870090243817
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior year,Actual,change from prior year,Actual,N,0.009003385646514817
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior year,Percentage,change from prior year,Actual,N,0.5079228384586936
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,calendar year to date,Actual,change from prior year,Actual,N,-691.9643410498056
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-0.006182043867838161
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,financial year to date,Actual,change from prior year,Actual,N,0.004258155384731843
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,financial year to date,Percentage,change from prior year,Actual,N,0.24650957229278345
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Number,,Actual,change from prior year,Percentage,N,2.1119856296286077
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,12 month rolling average,,Actual,change from prior year,Percentage,N,1.9862573318173526
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,26.126049128394175
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,23.669651606134376
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior month,Actual,change from prior year,Percentage,N,-66.48942847115006
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior month,Percentage,change from prior year,Percentage,N,-67.19981940705108
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior year,Actual,change from prior year,Percentage,N,33.77675843370584
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,prior year,Percentage,change from prior year,Percentage,N,31.664772804077256
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,calendar year to date,Actual,change from prior year,Percentage,N,18.41647476513436
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,0.006184821869266364
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,financial year to date,Actual,change from prior year,Percentage,N,368.43105107722135
2023-09-30,Average Number Of Individuals Per Application - Nonpriority,Average Number Of Individuals Per Application,Nonpriority,Difference,financial year to date,Percentage,change from prior year,Percentage,N,359.8725459361432
