POA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6367,146,140,285,74,35,114,14,37,54,3,4,12,8,0,11,103,83,182,32,47,75,7.9,2.4,5.4,70.6,58.5,64.6,65,57,61.1,0,4,4,0,0,0,5,22,22,5,12,17,27,20,49,0,0,0,0,3,3,27,31,58,132,131,260,15,20,39,97,89,189,46,55,97
POA6368,32,28,64,29,11,36,0,16,16,0,0,0,0,0,0,29,20,44,5,7,12,0,0,0,76.5,65.6,71.2,76.5,65.6,71.2,0,4,4,0,0,0,4,11,9,0,4,4,3,3,8,0,0,0,0,6,6,3,9,9,38,34,74,0,0,0,33,27,60,5,6,14
POA6369,287,252,542,135,60,195,24,56,75,4,9,15,8,4,14,169,133,300,57,85,143,3.6,3.1,3.3,58.7,51.8,55.5,56.6,50.2,53.6,0,6,0,0,4,4,9,32,41,10,20,26,38,19,60,3,3,7,4,0,4,46,28,64,243,229,466,35,31,69,182,165,344,83,81,160
POA6370,182,170,360,83,40,121,20,46,63,15,10,22,12,3,9,121,99,221,31,47,81,6.6,3.1,5,65.9,56.7,61.5,61.6,55,58.4,0,0,0,0,3,3,9,22,32,5,14,18,36,17,51,0,0,0,0,7,7,31,25,61,180,165,352,17,21,36,144,127,264,47,51,97
POA6372,52,40,87,23,7,24,10,12,25,0,0,0,0,0,0,29,18,46,15,17,29,0,5,2,58,50,54.4,58,47.5,53.3,0,0,0,0,0,0,0,0,0,5,0,5,10,7,16,0,3,3,0,4,3,12,10,20,43,34,78,8,5,12,37,26,64,13,12,28
POA6373,39,26,68,32,10,45,0,14,11,0,0,0,0,0,0,36,23,54,0,6,9,0,0,0,89.5,79.3,85.1,89.5,79.3,85.1,0,3,3,0,0,3,0,3,3,0,5,4,10,9,12,0,0,0,3,0,4,13,9,14,40,36,78,0,0,0,35,25,65,3,10,11
POA6375,370,361,731,190,94,285,39,91,128,14,17,33,9,3,12,253,204,454,96,127,231,3.6,2.5,3.1,68.3,56,62.2,65.9,54.6,60.3,4,4,6,0,4,4,13,50,63,17,41,55,88,37,123,15,10,22,0,13,13,101,61,159,338,339,671,66,62,132,262,239,504,119,135,252
POA6383,375,411,788,129,54,184,22,63,89,6,11,17,4,3,13,166,128,292,111,180,291,4.2,2.3,3.4,43.7,31.4,37.3,41.8,30.7,36,0,3,4,0,6,9,11,38,49,18,30,41,64,39,110,5,3,12,6,11,14,76,61,129,292,319,602,23,54,81,213,238,448,86,108,193
POA6384,12,9,21,9,0,6,0,3,4,0,0,0,0,0,0,7,3,18,0,0,0,0,0,0,81.8,75,78.9,81.8,75,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,11,7,19,0,0,4,9,7,14,3,0,5
POA6385,10,7,17,6,4,9,0,5,5,0,0,0,0,0,0,5,7,12,0,0,4,0,0,0,87.5,77.8,82.4,87.5,77.8,82.4,0,0,0,0,0,0,4,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,20,0,0,0,8,9,15,0,0,0
POA6386,48,49,94,20,11,28,4,5,9,0,0,0,0,0,0,26,17,45,5,5,7,11.5,0,6.8,55.3,39.1,47.3,48.9,39.1,44.1,0,0,0,0,0,0,0,0,4,0,0,5,8,6,15,0,0,0,0,6,7,8,9,20,28,26,53,4,3,11,18,16,39,13,13,20
POA6390,664,638,1302,309,157,463,70,133,198,46,43,86,16,16,32,436,340,776,160,241,402,3.5,4.4,3.9,65.3,53.4,59.5,63,51.1,57.2,11,12,20,0,11,14,35,81,111,27,54,86,199,87,282,9,25,33,12,17,27,218,121,339,619,572,1193,150,152,304,408,388,796,308,297,601
POA6391,424,400,821,240,108,352,40,114,148,25,25,46,0,0,4,312,242,555,69,111,177,0.6,0.4,0.5,72.6,61.7,67.4,72.2,61.5,67,0,8,12,0,11,13,29,65,95,32,40,72,87,59,141,5,7,14,3,3,11,96,64,163,425,382,805,48,59,103,303,277,586,138,129,265
POA6392,181,174,358,96,40,134,24,49,69,6,0,8,0,4,3,130,96,223,31,56,91,1.5,3.3,2.3,71.4,52.6,62.2,70.3,50.9,60.8,0,4,0,0,6,6,10,22,30,12,14,26,42,19,58,3,3,3,0,6,5,44,28,69,178,155,337,13,16,31,141,120,257,48,50,97
POA6393,49,38,92,19,5,28,3,13,11,0,3,4,0,0,0,23,18,46,20,15,34,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0,0,5,0,0,0,0,14,4,18,0,0,0,0,0,0,14,8,19,50,41,91,0,0,0,44,34,74,9,9,16
POA6394,220,180,404,109,52,165,20,63,77,16,6,24,3,0,3,145,119,266,43,41,86,1.4,1.7,1.5,66.4,66.1,66.3,65.4,65,65.3,7,0,5,0,5,3,12,32,46,13,19,32,43,24,71,0,7,9,7,8,10,50,39,89,209,176,388,21,19,40,172,154,324,42,37,77
POA6395,625,599,1232,299,146,441,94,157,248,36,36,69,6,8,11,430,350,774,147,202,353,1.2,2.6,1.8,68.2,57.6,63,67.4,56.1,61.9,4,8,13,3,5,6,50,113,164,40,51,90,109,54,158,11,16,23,4,7,14,124,77,195,621,593,1214,87,87,174,444,433,883,218,218,438
POA6396,168,129,297,100,41,137,9,35,47,10,7,19,3,0,3,126,79,208,28,32,64,2.4,0,1.5,74.3,63.3,69.5,72.5,63.3,68.5,0,0,5,0,5,9,13,16,32,18,11,26,31,29,56,0,5,7,7,8,10,41,31,68,154,110,269,22,26,49,100,73,178,67,59,130
POA6397,45,35,79,16,8,24,7,6,16,0,0,0,3,3,3,24,17,42,13,11,29,8,12.5,9.8,54.3,48.5,51.9,50,42.4,46.8,0,0,0,0,0,0,0,3,7,5,0,3,6,8,15,0,0,3,0,3,3,10,8,14,42,30,67,8,4,11,31,26,52,19,10,26
POA6398,251,242,499,63,36,101,40,62,99,9,12,21,4,0,6,115,110,229,124,119,241,6,0.9,3.5,46.2,46.1,46.2,43.5,45.7,44.6,4,11,13,3,3,7,24,33,54,16,26,41,69,32,102,4,4,8,3,7,9,73,40,116,231,208,442,30,46,77,162,153,316,91,94,183
POA6401,3446,3324,6775,1247,763,2013,317,752,1067,101,102,202,120,92,209,1786,1706,3490,1305,1308,2610,6.7,5.3,6,51.7,51.3,51.5,48.3,48.6,48.4,54,67,117,31,59,89,175,296,470,130,263,398,738,425,1160,53,97,151,50,52,106,845,579,1416,2931,3102,6028,481,534,1017,2026,2096,4120,1185,1365,2545
POA6403,75,70,142,18,11,33,12,27,38,0,0,3,5,3,7,35,40,82,32,21,52,10.8,4.8,7.6,52.1,60.9,56.4,46.5,58,52.1,0,0,0,0,0,0,4,7,8,4,4,9,22,9,34,0,0,0,0,3,8,29,14,40,69,66,131,6,5,11,52,53,104,22,20,43
POA6405,134,125,264,61,29,88,13,31,50,3,6,11,0,0,4,86,65,147,30,44,79,3.5,3.1,3.3,63.7,50.8,57.5,61.5,49.2,55.6,0,0,0,0,0,4,4,11,14,6,11,13,26,12,43,0,8,6,0,4,4,30,19,57,137,140,275,4,14,26,110,99,205,32,42,70
POA6407,414,365,776,209,64,275,29,98,127,22,20,37,19,9,24,270,190,460,119,152,268,5.5,5.3,5.4,65.5,52.5,59.5,61.9,49.7,56.2,3,3,9,0,3,9,20,32,49,11,21,33,109,50,156,8,8,21,7,8,15,122,61,186,388,346,736,83,63,138,257,227,487,182,164,349
POA6409,173,140,315,81,23,97,17,35,50,3,5,8,8,6,14,105,68,169,49,49,94,7.7,5.8,6.9,59.4,49.6,55.1,54.9,46.8,51.3,0,0,0,0,0,0,10,24,34,10,11,19,29,14,48,0,8,7,0,0,0,35,20,57,169,129,300,10,9,22,130,97,230,45,34,80
POA6410,411,410,825,146,70,218,39,93,129,10,11,24,16,3,20,210,183,390,161,192,347,7.1,2.2,4.9,51.1,43.9,47.5,47.4,43,45.2,3,10,11,3,5,8,5,40,45,18,16,34,81,47,124,3,9,5,4,13,15,85,59,144,369,374,742,45,34,74,290,289,583,98,97,198
POA6411,59,58,120,27,16,46,10,19,22,0,3,4,0,0,0,35,35,72,13,15,22,0,0,0,62.3,60.3,61.3,62.3,60.3,61.3,0,4,4,0,0,4,5,12,15,6,0,10,10,8,16,0,0,0,0,0,3,8,14,20,47,47,93,5,3,12,44,44,85,11,5,16
POA6412,29,19,50,11,4,18,0,0,0,0,3,3,0,0,0,15,7,25,3,3,7,13.3,0,7.7,50,52.4,51,43.3,52.4,47.1,0,0,0,0,0,0,0,4,6,0,0,0,7,4,14,0,0,0,0,0,0,8,4,16,23,16,38,0,0,0,20,14,29,9,9,14
POA6413,34,25,57,13,3,11,0,4,7,3,0,3,0,0,0,17,15,29,12,5,21,6.7,16.7,11.1,46.9,54.5,50,43.8,45.5,44.4,0,0,0,0,0,0,3,6,5,0,0,0,6,4,11,0,0,0,0,0,0,9,4,14,24,18,40,0,0,7,22,15,39,3,4,4
POA6414,32,29,59,10,3,14,3,13,14,0,0,4,0,0,0,15,17,36,5,4,15,5.9,0,2.9,54.8,56.7,55.7,51.6,56.7,54.1,0,3,3,0,0,0,0,4,0,0,5,5,8,0,11,0,0,0,0,0,0,8,0,11,28,26,55,3,0,4,27,20,45,3,7,8
POA6415,1153,1088,2241,513,253,765,125,265,391,40,58,97,33,19,52,714,597,1311,297,372,672,5,3.2,4.2,62,54.9,58.6,58.9,53.1,56.1,29,9,41,7,18,26,62,105,166,44,72,115,294,126,414,19,42,62,10,25,38,320,193,514,1044,1007,2053,185,180,366,716,673,1390,451,449,897
POA6418,312,291,599,142,67,206,19,56,76,7,6,10,3,11,14,175,133,310,96,120,209,3.4,5.1,4.2,56.1,46.9,51.7,54.2,44.5,49.5,0,0,0,0,11,13,19,32,51,15,23,39,65,29,96,5,3,7,5,5,9,76,42,113,293,271,563,50,46,90,223,199,425,92,100,189
POA6419,29,19,46,15,8,27,0,6,8,0,0,0,0,0,0,22,14,29,5,9,6,5,0,3.1,74.1,63.2,69.6,70.4,63.2,67.4,0,0,0,0,0,0,0,0,0,5,0,6,9,0,11,0,0,0,0,0,0,9,3,14,30,19,46,0,0,0,21,14,37,7,0,13
POA6420,33,26,67,26,12,33,8,13,13,0,0,0,0,0,0,28,22,50,9,4,11,0,0,0,80.6,74.1,77.8,80.6,74.1,77.8,0,0,0,0,0,0,0,5,5,0,0,0,13,0,10,0,0,0,0,0,0,13,0,13,40,33,76,0,0,0,32,24,55,10,7,15
POA6421,72,63,137,29,8,40,4,21,22,0,4,5,5,0,4,36,33,70,19,16,35,5.4,5.7,5.6,52.1,55.6,53.7,49.3,52.4,50.7,0,0,3,0,0,0,0,15,16,0,0,0,11,8,15,0,0,0,0,4,4,11,8,20,65,63,130,7,0,7,48,50,103,16,8,22
POA6422,22,22,44,18,10,19,0,9,9,0,0,0,0,0,0,17,17,31,3,7,9,0,0,0,77.3,59.1,68.2,77.3,59.1,68.2,0,0,0,0,0,0,3,9,9,0,0,0,7,8,14,0,4,4,0,0,0,7,10,13,29,28,55,0,0,5,16,22,37,4,9,14
POA6423,68,63,131,29,16,45,5,10,16,3,0,5,0,0,0,41,24,69,20,28,51,2.4,3.7,2.9,60,42.2,51.5,58.6,40.6,50,0,0,0,0,0,0,0,3,3,4,8,14,14,8,23,0,0,0,0,0,3,18,14,27,61,54,115,10,11,17,40,38,77,20,24,46
POA6424,37,29,59,24,8,28,4,7,14,4,0,4,0,0,4,27,17,47,0,7,9,7.1,5.6,6.5,84.8,62.1,74.2,78.8,58.6,69.4,0,0,0,0,0,0,0,0,5,5,0,3,3,4,14,0,0,0,0,0,0,3,7,15,28,25,51,3,3,10,19,12,29,12,10,28
POA6425,36,35,75,26,7,35,0,7,7,0,0,0,0,0,0,31,19,44,9,7,14,0,0,0,78.9,54.5,67.6,78.9,54.5,67.6,0,0,0,0,0,0,3,10,11,0,6,8,6,0,9,0,0,0,0,0,3,5,3,11,40,30,66,0,6,7,30,25,59,7,6,9
POA6426,498,302,804,234,103,339,39,53,88,23,17,41,12,13,18,308,182,486,89,89,180,2.9,5.5,3.9,61.1,59.9,60.6,59.3,56.6,58.3,6,0,8,0,3,9,16,28,44,21,30,50,107,28,127,4,8,15,0,8,13,115,41,154,360,248,609,86,62,148,254,166,417,166,129,296
POA6427,82,16,93,34,4,37,0,0,0,4,0,6,0,0,0,38,7,46,0,0,0,2.5,0,2.2,50,50,50,48.8,50,48.9,0,0,0,0,0,0,8,0,10,4,0,7,16,0,15,0,0,0,0,0,0,16,0,15,30,3,38,10,5,10,22,0,17,19,9,28
POA6428,24,24,45,14,7,17,0,7,7,0,0,0,0,0,0,14,13,31,3,0,0,0,6.7,3.4,60.9,68.2,64.4,60.9,63.6,62.2,0,0,0,0,0,0,0,5,5,0,3,3,3,3,7,0,0,0,0,0,0,3,3,7,17,19,38,0,0,3,14,17,28,0,3,3
POA6429,484,330,812,168,74,241,37,50,88,20,9,26,12,10,27,239,149,388,125,106,234,6.3,7.4,6.7,48.9,45.2,47.4,45.8,41.8,44.2,4,0,5,3,4,7,17,17,28,17,21,32,97,37,131,8,6,17,9,8,11,111,47,157,335,237,572,79,70,145,225,158,380,168,137,298
POA6430,8803,8191,16995,5425,3216,8644,709,1867,2570,395,354,752,214,163,377,6743,5604,12347,1275,1941,3214,3.2,2.9,3.1,76.6,68.4,72.7,74.2,66.4,70.4,287,291,582,79,192,268,764,1193,1957,470,683,1146,2829,1116,3945,136,222,356,102,170,269,3063,1504,4570,8094,7651,15745,2152,2002,4152,4895,4471,9367,4596,4476,9073
POA6431,505,301,806,192,65,260,12,15,28,18,3,22,24,20,43,251,99,349,140,169,311,10,18,12.3,49.6,33.1,43.4,44.6,27.2,38.1,4,4,5,0,4,5,23,21,41,18,7,21,94,15,118,9,6,11,5,5,11,106,28,129,387,279,668,68,50,122,292,250,544,140,64,208
POA6432,3109,2501,5607,1452,799,2250,235,522,756,126,77,200,91,63,160,1900,1461,3359,699,664,1364,4.8,4.5,4.7,61.1,58.4,59.9,58.1,55.8,57.1,25,19,47,10,29,35,91,134,230,80,166,250,847,385,1236,52,62,116,36,45,75,935,487,1425,2473,2215,4686,542,460,1002,1565,1359,2929,1255,1127,2381
POA6434,143,30,172,77,11,92,4,0,7,4,0,4,0,0,0,83,14,98,0,0,0,1.2,0,1,58.9,46.2,57,58.2,46.2,56.4,0,0,0,4,0,4,5,4,7,4,0,5,30,4,33,0,0,0,0,0,0,30,4,32,63,12,76,24,8,31,34,3,37,50,12,63
POA6436,91,44,140,26,13,42,0,11,10,0,0,0,7,3,17,39,23,66,15,9,23,23.8,12.5,19.7,45.2,51.1,47.1,34.4,44.7,37.9,0,0,3,0,0,0,5,0,10,5,0,6,10,3,15,7,0,4,0,3,3,19,9,21,42,25,65,19,21,38,35,17,51,23,23,55
POA6437,385,208,589,203,84,280,21,33,53,21,9,28,0,4,4,245,128,366,6,31,36,0.4,4,1.6,63.5,60.6,62.5,63.3,58.2,61.5,7,9,8,0,4,4,12,14,25,14,17,36,99,32,127,10,3,13,0,3,3,108,35,145,225,147,371,94,63,159,93,61,153,196,129,326
POA6438,461,270,732,148,87,233,13,29,40,21,9,27,7,5,13,194,129,319,63,78,142,4.2,3.1,3.8,41.3,46.9,43.3,39.5,45.4,41.7,5,4,11,0,5,4,19,17,32,19,28,46,78,26,100,3,8,11,4,3,7,82,31,108,229,195,423,58,49,110,144,123,269,125,106,233
POA6440,841,358,1197,293,103,391,37,29,64,42,18,56,18,6,24,389,153,540,95,110,205,4.6,3.9,4.4,46.3,42.9,45.2,44.1,41.2,43.2,5,4,8,4,6,3,35,28,59,36,17,49,125,38,170,5,10,14,7,7,6,139,49,187,426,229,659,118,76,199,278,132,409,243,159,402
POA6442,1003,925,1930,427,232,663,66,144,209,61,42,107,32,21,55,588,446,1039,181,278,459,5.4,5.2,5.3,58.7,48.2,53.7,55.5,45.7,50.8,10,4,18,5,8,13,32,45,74,18,46,62,271,113,386,14,23,37,7,9,20,290,154,443,760,726,1483,214,188,397,509,439,950,388,409,797
POA6443,356,287,643,106,79,184,31,40,64,10,16,28,16,8,19,164,137,303,112,97,202,7.8,4.4,6.3,46.4,47.9,47,42.7,45.8,44.1,0,3,4,4,3,6,17,14,32,13,12,24,56,28,80,0,4,3,4,4,4,58,31,92,238,194,430,64,56,126,166,143,307,126,103,229
POA6445,64,59,124,35,20,56,6,18,23,0,3,3,0,0,0,44,37,86,12,15,22,4.3,0,2.3,71.9,70.7,71.3,68.8,70.7,69.7,0,0,0,0,4,4,4,5,7,7,4,8,15,10,24,0,0,0,0,0,0,15,18,29,70,74,142,0,0,3,58,50,101,8,21,31
POA6446,49,40,92,41,10,50,0,19,17,0,0,0,0,0,0,41,29,72,6,10,19,0,0,0,86,66.7,77.2,86,66.7,77.2,0,0,0,0,0,0,3,3,7,0,0,7,14,8,20,0,0,4,0,3,3,13,11,21,58,49,107,0,0,0,44,40,80,13,9,19
POA6447,81,64,139,57,13,70,6,26,31,3,4,10,3,3,0,67,48,112,7,13,21,3,4.3,3.5,84.8,77,81.4,82.3,73.8,78.6,0,0,0,0,0,0,3,21,20,3,5,11,19,8,24,0,5,5,0,3,0,21,10,31,80,67,142,12,7,17,62,48,113,22,15,34
POA6448,161,151,312,80,38,121,8,33,51,10,9,17,0,3,10,101,87,187,39,42,81,2,4.4,3.2,62.1,59.2,60.7,60.9,56.6,58.8,0,0,0,0,6,6,9,10,22,10,10,22,40,31,68,3,6,6,0,5,5,36,37,79,156,137,291,27,22,51,102,91,196,68,64,129
POA6450,5317,5284,10603,2482,1233,3713,520,1374,1897,276,247,522,100,71,172,3373,2926,6303,1335,1858,3191,2.9,2.5,2.7,63.4,55.4,59.4,61.6,54,57.8,61,75,137,38,112,149,316,634,954,274,460,730,1435,721,2156,79,141,219,51,96,150,1563,956,2522,4847,4880,9728,928,925,1855,3327,3280,6612,2121,2226,4349
POA6452,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
POA6460,294,277,569,131,45,177,27,74,98,12,10,21,0,9,14,168,137,302,87,104,190,1.8,5.1,3.3,57.6,49.3,53.6,56.6,46.7,51.8,0,7,7,3,0,7,15,24,40,7,18,23,55,36,91,7,4,12,0,4,3,58,47,100,281,270,549,22,20,43,219,214,430,64,65,133
POA6461,207,190,399,86,37,123,24,49,72,13,10,13,6,5,7,124,92,223,59,84,140,5.6,3.1,4.5,60.4,50.3,55.5,57,48.7,53,0,3,3,0,3,5,6,24,32,11,24,31,43,19,58,4,0,11,7,4,9,51,28,77,204,191,395,21,31,55,157,146,300,63,66,124
POA6462,64,56,119,41,13,55,9,19,21,0,4,3,0,0,4,46,38,82,7,17,30,2.1,2.8,2.4,77.4,63.2,70.6,75.8,61.4,68.9,0,0,0,0,0,0,0,9,10,12,5,16,14,3,21,0,0,6,0,0,0,15,7,21,78,70,144,8,3,11,56,56,112,16,11,27
POA6463,6,8,16,10,3,14,0,0,3,0,0,0,0,0,0,10,10,14,0,0,0,0,0,0,88.9,88.9,88.9,88.9,88.9,88.9,0,0,0,0,0,0,0,5,10,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,12,12,16,0,0,5,7,3,9,3,3,7
POA6465,23,21,41,15,6,17,0,8,7,0,0,0,0,0,3,14,17,27,3,7,12,6.7,7.1,6.9,65.2,70,67.4,60.9,65,62.8,0,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,5,0,4,18,20,40,0,0,0,14,16,36,5,0,9
POA6466,27,22,50,18,10,23,4,10,5,0,0,6,0,0,0,22,15,33,4,7,12,0,0,0,77.8,66.7,72.9,77.8,66.7,72.9,0,0,0,0,6,4,0,3,3,0,3,0,3,0,7,0,0,0,0,0,0,4,3,8,30,22,50,0,0,0,23,16,46,4,3,9
POA6467,14,13,28,13,3,16,0,0,0,0,0,0,0,0,0,8,11,21,4,7,7,8.3,0,5,85.7,61.5,74.1,78.6,61.5,70.4,0,0,0,0,0,0,0,0,0,0,8,5,3,0,3,0,0,0,0,0,0,3,0,3,15,18,31,0,0,0,11,8,22,5,6,14
POA6468,89,74,163,62,20,80,8,15,22,0,0,6,0,0,0,66,39,109,7,17,26,1.5,0,0.9,74.4,57.5,66.9,73.3,57.5,66.3,0,0,0,0,0,0,3,18,26,4,3,7,20,0,26,0,0,0,0,0,0,20,6,27,77,62,143,9,11,11,56,44,104,22,24,50
POA6470,6,6,6,3,0,6,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,33.3,11.1,100,100,100,100,66.7,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,20,0,0,0,10,5,13,5,3,4
POA6472,72,53,127,47,29,71,0,7,9,5,0,9,3,3,8,53,42,94,11,12,23,3.8,4.9,4.3,74.6,75.9,75.2,71.8,72.2,72,0,0,0,0,3,5,6,3,7,0,0,0,10,9,19,7,0,7,0,0,3,17,14,31,69,49,112,10,9,22,53,33,88,22,15,35
POA6473,14,17,36,10,3,16,0,9,9,0,0,0,0,0,0,10,13,24,0,4,7,0,0,0,70.6,61.1,65.7,70.6,61.1,65.7,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,21,32,47,0,0,0,16,18,31,4,7,9
POA6475,163,129,291,85,38,122,12,40,54,5,7,14,0,6,8,109,84,188,45,47,91,0.9,3.7,2.1,65.8,63.1,64.6,65.2,60.8,63.2,0,0,0,0,0,0,3,15,17,4,9,14,31,11,48,0,9,11,0,4,3,36,29,64,163,132,294,23,20,40,134,107,233,45,38,86
POA6476,22,16,39,12,5,20,0,6,8,0,0,0,0,0,0,15,12,25,7,6,12,0,9.1,4.3,57.1,64.7,60.5,57.1,58.8,57.9,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,0,0,0,0,0,0,0,6,4,20,17,41,0,0,0,19,16,34,0,6,3
POA6477,101,98,200,55,22,76,10,26,33,4,4,11,3,0,7,75,54,129,24,29,47,5.6,1.8,3.9,69.2,57.1,63.4,65.4,56.1,60.9,0,0,0,0,7,7,6,11,14,3,10,16,22,14,34,0,0,0,5,7,5,28,23,44,92,94,185,13,9,24,76,69,145,25,32,56
POA6479,240,208,449,134,46,176,19,48,69,9,14,23,0,3,4,163,106,271,41,78,126,0.6,1.9,1.1,69.1,51.4,60.8,68.6,50.5,60.1,0,0,3,4,6,11,10,28,34,4,17,21,51,21,77,4,3,6,0,6,3,60,33,87,215,188,410,33,23,54,161,129,287,75,71,150
POA6480,18,13,33,9,3,13,0,5,8,0,0,0,0,0,0,9,13,25,4,0,3,0,8.3,4.5,52.6,85.7,66.7,52.6,78.6,63.6,0,0,0,0,0,0,0,7,7,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,13,13,31,0,4,7,10,10,20,3,3,11
POA6484,20,7,28,3,5,10,5,0,4,0,0,0,0,0,0,12,4,14,8,4,5,9.1,0,6.3,57.9,50,55.2,52.6,50,51.7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,8,0,5,17,10,26,0,0,4,11,8,22,8,0,9
POA6485,203,182,388,83,41,123,19,38,52,4,4,17,8,4,11,115,92,202,71,67,141,6.1,4.5,5.4,55.3,48.1,51.9,51.9,45.9,49.1,0,0,3,0,0,8,8,20,24,7,14,20,35,24,60,0,6,10,0,6,3,41,31,74,169,167,338,33,23,63,130,121,252,74,67,138
POA6487,19,18,41,17,9,22,3,0,5,0,5,5,0,0,0,16,10,28,0,7,8,0,0,0,90,58.8,75.7,90,58.8,75.7,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,6,10,14,21,15,35,0,3,3,16,9,26,4,5,8
POA6488,76,68,148,25,11,36,14,10,28,0,7,6,0,0,0,42,30,75,25,32,54,2.3,3.4,2.8,56.6,40.8,49,55.3,39.4,47.6,0,0,0,0,0,0,0,3,3,4,3,9,19,9,25,0,4,4,0,0,0,17,6,26,68,57,125,8,7,22,52,44,93,25,24,49
POA6489,44,39,84,16,7,22,0,7,7,0,5,5,0,0,6,18,12,29,18,22,40,5.9,7.7,6.7,40.5,32.5,36.6,38.1,30,34.1,0,0,0,0,0,0,0,0,4,0,4,3,7,0,12,0,0,0,0,0,3,15,6,19,29,32,65,5,0,5,24,24,47,7,8,18
POA6490,112,102,217,38,24,63,7,20,24,3,3,8,3,0,6,56,48,110,31,25,59,5.3,7.8,6.5,49.6,50,49.8,47,46.1,46.5,0,0,0,0,0,0,0,7,8,3,7,13,16,7,29,4,0,4,0,4,3,21,18,37,92,86,177,12,8,20,62,57,121,36,30,64
POA6501,387,390,775,191,94,280,36,109,143,28,18,45,15,11,23,261,228,491,105,130,236,4.6,4.4,4.5,67.4,59,63.2,64.3,56.4,60.4,0,4,3,0,4,4,19,34,53,27,43,69,108,56,164,4,5,7,0,10,16,117,72,183,373,360,741,58,52,107,296,276,576,110,121,225
